Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
16.866012,110.50,1990-05-04,110.625,108.25,108.625,IBM,6049200
16.866012,110.50,1990-05-07,111.375,110.25,110.50,IBM,5220800
16.90417,110.75,1990-05-08,111.00,110.375,110.50,IBM,4962000
16.980487,111.25,1990-05-09,111.25,110.375,110.75,IBM,4860000
17.1522,112.375,1990-05-10,112.875,111.25,111.375,IBM,7253200
17.40023,114.00,1990-05-11,114.50,113.00,113.625,IBM,10189200
17.438388,114.25,1990-05-14,115.50,114.00,114.125,IBM,9242400
17.648259,115.625,1990-05-15,115.625,113.75,113.875,IBM,5944000
17.610101,115.375,1990-05-16,115.75,114.625,115.25,IBM,7046000
17.724576,116.125,1990-05-17,116.25,115.125,115.875,IBM,6090400
17.610101,115.375,1990-05-18,116.25,115.25,115.875,IBM,7080800
17.85813,117.00,1990-05-21,117.375,115.125,115.125,IBM,6942400
17.972606,117.75,1990-05-22,117.75,116.625,117.50,IBM,7734400
18.125239,118.75,1990-05-23,118.75,117.25,117.50,IBM,6812400
18.125239,118.75,1990-05-24,118.875,117.875,118.75,IBM,5781200
17.743655,116.25,1990-05-25,118.00,116.125,117.625,IBM,4594800
18.277873,119.75,1990-05-29,119.875,116.75,117.00,IBM,7840400
18.449585,120.875,1990-05-30,122.125,119.625,120.00,IBM,11428000
18.316031,120.00,1990-05-31,120.875,119.50,119.75,IBM,7963600
18.239714,119.50,1990-06-01,120.75,119.00,120.50,IBM,6168000
18.373269,120.375,1990-06-04,120.875,119.25,119.50,IBM,5193200
18.430506,120.75,1990-06-05,121.875,120.125,120.50,IBM,9407600
18.411427,120.625,1990-06-06,122.25,120.375,120.375,IBM,6174000
18.411427,120.625,1990-06-07,121.50,119.75,121.25,IBM,5949600
18.125239,118.75,1990-06-08,120.875,118.625,120.875,IBM,5725200
18.296952,119.875,1990-06-11,120.25,118.625,118.625,IBM,4326800
18.354189,120.25,1990-06-12,120.875,119.25,120.125,IBM,5504800
18.525902,121.375,1990-06-13,122.125,120.25,120.50,IBM,8964000
18.449585,120.875,1990-06-14,121.875,120.125,121.25,IBM,6793200
18.373269,120.375,1990-06-15,121.25,120.125,120.375,IBM,8447600
18.10616,118.625,1990-06-18,120.75,118.625,120.25,IBM,5968000
18.125239,118.75,1990-06-19,119.125,117.875,118.875,IBM,5782400
18.010764,118.00,1990-06-20,119.125,117.25,118.75,IBM,4044800
18.182477,119.125,1990-06-21,119.125,117.50,118.00,IBM,4004800
17.743655,116.25,1990-06-22,119.50,116.25,119.00,IBM,4800400
17.800893,116.625,1990-06-25,117.25,116.50,116.625,IBM,4504800
17.819972,116.75,1990-06-26,118.00,116.50,117.625,IBM,5017600
18.010764,118.00,1990-06-27,118.125,116.75,116.875,IBM,4606800
17.953526,117.625,1990-06-28,118.375,117.50,118.25,IBM,3215200
17.934447,117.50,1990-06-29,118.125,117.375,117.625,IBM,3414800
18.087081,118.50,1990-07-02,118.75,117.375,117.50,IBM,3664000
17.953526,117.625,1990-07-03,118.75,117.625,118.625,IBM,2336400
17.915368,117.375,1990-07-05,117.625,116.875,117.50,IBM,3399200
18.010764,118.00,1990-07-06,118.50,117.00,117.125,IBM,2834400
18.163398,119.00,1990-07-09,119.25,117.875,118.125,IBM,3667200
